Target Distance: 1233, Step Size: 12
1424: (x,y) = (-53.6723, 11.2312)
1425: (x,y) = (-46.6189, 1.52298)
1426: (x,y) = (-45.3645, -10.4113)
1427: (x,y) = (-54.2822, -18.4409)
1428: (x,y) = (-54.9103, -6.4573)
1429: (x,y) = (-66.1866, -2.35306)
1430: (x,y) = (-70.6819, -13.4793)
1431: (x,y) = (-79.4581, -5.29528)
1432: (x,y) = (-72.7478, -15.2437)
1433: (x,y) = (-66.5673, -4.95773)
1434: (x,y) = (-55.4411, -9.45301)
1435: (x,y) = (-60.7016, 1.33252)
1436: (x,y) = (-59.0315, -10.5507)
1437: (x,y) = (-47.2937, -13.0456)
1438: (x,y) = (-49.5834, -1.26611)
1439: (x,y) = (-41.0982, 7.21917)
1440: (x,y) = (-35.4645, 17.8145)
1441: (x,y) = (-43.9498, 26.2998)
1442: (x,y) = (-49.9498, 36.6921)
1443: (x,y) = (-61.4254, 33.1837)
1444: (x,y) = (-71.3739, 26.4734)
1445: (x,y) = (-79.4035, 17.5556)
1446: (x,y) = (-81.4872, 5.73792)
1447: (x,y) = (-92.3629, 0.666505)
1448: (x,y) = (-80.6705, 3.36592)
1449: (x,y) = (-77.9711, -8.32652)
1450: (x,y) = (-73.2823, -19.3726)
1451: (x,y) = (-67.8344, -8.6805)
1452: (x,y) = (-76.1703, -17.3126)
1453: (x,y) = (-86.3469, -10.9535)
1454: (x,y) = (-87.8093, -22.8641)
1455: (x,y) = (-86.9723, -10.8933)
1456: (x,y) = (-87.391, -22.886)
1457: (x,y) = (-76.1881, -18.5856)
1458: (x,y) = (-73.0823, -6.9945)
1459: (x,y) = (-80.304, -16.5781)
1460: (x,y) = (-79.467, -28.5489)
1461: (x,y) = (-73.2865, -38.8349)
1462: (x,y) = (-81, -29.6424)
1463: (x,y) = (-70.3079, -24.1945)
1464: (x,y) = (-72.3917, -12.3768)
1465: (x,y) = (-60.8005, -15.4826)
1466: (x,y) = (-68.0223, -25.0662)
1467: (x,y) = (-64.5139, -36.5419)
1468: (x,y) = (-67.2133, -48.2343)
1469: (x,y) = (-69.2971, -36.4166)
1470: (x,y) = (-62.0753, -26.833)
1471: (x,y) = (-50.4317, -29.7361)
1472: (x,y) = (-61.8444, -26.0279)
1473: (x,y) = (-60.5901, -14.0936)
1474: (x,y) = (-72.3696, -11.8039)
1475: (x,y) = (-78.55, -1.5179)
1476: (x,y) = (-82.8505, 9.68506)
1477: (x,y) = (-70.8669, 10.3131)
1478: (x,y) = (-82.6846, 8.22932)
1479: (x,y) = (-90.8686, 17.0056)
1480: (x,y) = (-99.6448, 25.1895)
1481: (x,y) = (-89.9366, 32.243)
1482: (x,y) = (-93.4451, 43.7186)
1483: (x,y) = (-102.638, 51.4321)
1484: (x,y) = (-100.348, 63.2116)
1485: (x,y) = (-108.833, 71.6969)
1486: (x,y) = (-104.144, 60.6508)
1487: (x,y) = (-108.249, 49.3745)
1488: (x,y) = (-112.155, 60.7207)
1489: (x,y) = (-110.485, 48.8375)
1490: (x,y) = (-114.981, 37.7113)
1491: (x,y) = (-119.476, 26.5851)
1492: (x,y) = (-111.292, 17.8089)
1493: (x,y) = (-119.777, 9.32358)
1494: (x,y) = (-125.411, 19.9189)
1495: (x,y) = (-136.946, 23.2266)
1496: (x,y) = (-131.686, 12.4411)
1497: (x,y) = (-126.805, 1.47852)
1498: (x,y) = (-114.805, 1.47852)
1499: (x,y) = (-103.27, -1.82913)
1500: (x,y) = (-91.6261, -4.73219)
1501: (x,y) = (-90.1636, -16.6427)
1502: (x,y) = (-80.3338, -9.75982)
1503: (x,y) = (-92.1133, -12.0495)
1504: (x,y) = (-101.943, -5.16662)
1505: (x,y) = (-111, 2.70609)
1506: (x,y) = (-111.418, -9.2866)
1507: (x,y) = (-109.956, -21.1972)
1508: (x,y) = (-101.772, -12.4209)
1509: (x,y) = (-96.1384, -1.82554)
1510: (x,y) = (-88.1088, -10.7433)
1511: (x,y) = (-78.7831, -3.19143)
1512: (x,y) = (-90.7539, -4.02851)
1513: (x,y) = (-95.4426, 7.01755)
1514: (x,y) = (-94.3968, 18.9719)
1515: (x,y) = (-99.6572, 8.18636)
1516: (x,y) = (-93.8395, 18.6818)
1517: (x,y) = (-89.9327, 30.028)
1518: (x,y) = (-99.2584, 37.5799)
1519: (x,y) = (-109.651, 31.5799)
1520: (x,y) = (-110.279, 19.5963)
1521: (x,y) = (-100.695, 26.8181)
1522: (x,y) = (-102.779, 15.0004)
1523: (x,y) = (-90.8246, 13.9545)
1524: (x,y) = (-101.001, 7.5955)
1525: (x,y) = (-112.999, 7.80493)
1526: (x,y) = (-110.71, 19.5845)
1527: (x,y) = (-118.261, 28.9102)
1528: (x,y) = (-120.345, 17.0925)
1529: (x,y) = (-120.764, 5.09982)
1530: (x,y) = (-125.453, -5.94624)
1531: (x,y) = (-134.085, 2.38966)
1532: (x,y) = (-145.288, 6.69008)
1533: (x,y) = (-156.491, 10.9905)
1534: (x,y) = (-147.434, 3.11778)
1535: (x,y) = (-157.498, 9.65345)
1536: (x,y) = (-146.623, 14.7249)
1537: (x,y) = (-158.506, 13.0548)
1538: (x,y) = (-154.402, 1.77848)
1539: (x,y) = (-166.045, -1.12458)
1540: (x,y) = (-175.994, -7.83489)
1541: (x,y) = (-171.305, 3.21116)
1542: (x,y) = (-172.767, 15.1217)
1543: (x,y) = (-167.134, 4.52635)
1544: (x,y) = (-155.441, 1.82693)
1545: (x,y) = (-166.644, -2.47348)
1546: (x,y) = (-154.673, -1.6364)
1547: (x,y) = (-159.745, -12.5121)
1548: (x,y) = (-171.628, -10.842)
1549: (x,y) = (-173.712, -22.6597)
1550: (x,y) = (-184.497, -27.9202)
1551: (x,y) = (-186.581, -16.1025)
1552: (x,y) = (-179.871, -26.0509)
1553: (x,y) = (-186.23, -15.8743)
1554: (x,y) = (-179.176, -6.16614)
1555: (x,y) = (-179.804, -18.1497)
1556: (x,y) = (-167.987, -16.0659)
1557: (x,y) = (-159.21, -24.2499)
1558: (x,y) = (-170.802, -27.3557)
1559: (x,y) = (-161.093, -20.3023)
1560: (x,y) = (-155.646, -30.9944)
1561: (x,y) = (-144.054, -34.1002)
1562: (x,y) = (-140.546, -45.5759)
1563: (x,y) = (-148.259, -54.7684)
1564: (x,y) = (-140.546, -45.5759)
1565: (x,y) = (-129.07, -42.0674)
1566: (x,y) = (-118.108, -37.1866)
1567: (x,y) = (-125.821, -46.3791)
1568: (x,y) = (-114.545, -42.2749)
1569: (x,y) = (-125.891, -46.1817)
1570: (x,y) = (-129.798, -57.5279)
1571: (x,y) = (-138.283, -49.0426)
1572: (x,y) = (-146.313, -40.1249)
1573: (x,y) = (-142.012, -51.3278)
1574: (x,y) = (-135.653, -41.1513)
1575: (x,y) = (-126.328, -33.5994)
1576: (x,y) = (-117.842, -42.0847)
1577: (x,y) = (-113.738, -30.8084)
1578: (x,y) = (-120.96, -21.2248)
1579: (x,y) = (-109.834, -25.72)
1580: (x,y) = (-104.016, -15.2246)
1581: (x,y) = (-115.429, -18.9328)
1582: (x,y) = (-125.258, -12.0499)
1583: (x,y) = (-137.193, -13.3042)
1584: (x,y) = (-125.78, -9.59604)
1585: (x,y) = (-113.809, -8.75896)
1586: (x,y) = (-105.625, 0.0172862)
1587: (x,y) = (-97.4413, 8.79353)
1588: (x,y) = (-107.39, 15.5038)
1589: (x,y) = (-96.6976, 10.056)
1590: (x,y) = (-106.154, 2.66802)
1591: (x,y) = (-117.689, 5.97567)
1592: (x,y) = (-129.165, 2.46721)
1593: (x,y) = (-117.689, -1.04125)
1594: (x,y) = (-122.184, -12.1675)
1595: (x,y) = (-127.065, -1.20491)
1596: (x,y) = (-122.184, 9.75763)
1597: (x,y) = (-110.213, 10.5947)
1598: (x,y) = (-98.5699, 13.4978)
1599: (x,y) = (-97.9418, 1.51422)
1600: (x,y) = (-109.634, -1.18519)
1601: (x,y) = (-118.96, -8.73704)
1602: (x,y) = (-118.96, -20.737)
1603: (x,y) = (-107.684, -24.8413)
1604: (x,y) = (-104.175, -13.3656)
1605: (x,y) = (-115.651, -16.8741)
1606: (x,y) = (-114.814, -28.8449)
1607: (x,y) = (-104.218, -34.4785)
1608: (x,y) = (-92.2258, -34.8973)
1609: (x,y) = (-92.2258, -46.8973)
1610: (x,y) = (-98.0435, -36.4019)
1611: (x,y) = (-86.1603, -38.0719)
1612: (x,y) = (-96.5526, -32.0719)
1613: (x,y) = (-84.5982, -31.0261)
1614: (x,y) = (-91.1339, -41.0901)
1615: (x,y) = (-102.096, -45.971)
1616: (x,y) = (-109.969, -36.9144)
1617: (x,y) = (-103.789, -47.2005)
1618: (x,y) = (-102.952, -35.2297)
1619: (x,y) = (-108.769, -24.7342)
1620: (x,y) = (-96.7767, -25.153)
1621: (x,y) = (-108.777, -25.153)
1622: (x,y) = (-118.841, -31.6887)
1623: (x,y) = (-124.658, -42.1841)
1624: (x,y) = (-113.532, -46.6794)
1625: (x,y) = (-120.243, -36.731)
1626: (x,y) = (-112.529, -27.5384)
1627: (x,y) = (-101.837, -32.9863)
1628: (x,y) = (-101.837, -44.9863)
1629: (x,y) = (-113.821, -44.3583)
1630: (x,y) = (-103.128, -38.9104)
1631: (x,y) = (-105.418, -50.6899)
1632: (x,y) = (-112.64, -41.1063)
1633: (x,y) = (-101.227, -37.3981)
1634: (x,y) = (-104.935, -48.8108)
1635: (x,y) = (-98.0526, -58.6406)
1636: (x,y) = (-86.6399, -62.3488)
1637: (x,y) = (-94.8239, -71.1251)
1638: (x,y) = (-89.943, -60.1625)
1639: (x,y) = (-90.5711, -72.1461)
1640: (x,y) = (-99.6276, -80.0188)
1641: (x,y) = (-87.8099, -77.935)
1642: (x,y) = (-94.5202, -67.9865)
1643: (x,y) = (-99.209, -56.9405)
1644: (x,y) = (-110.485, -52.8362)
1645: (x,y) = (-100.309, -46.4772)
1646: (x,y) = (-88.9625, -42.5704)
1647: (x,y) = (-80.9329, -33.6527)
1648: (x,y) = (-88.6464, -24.4601)
1649: (x,y) = (-84.346, -35.6631)
1650: (x,y) = (-91.0563, -25.7146)
1651: (x,y) = (-101.932, -20.6432)
1652: (x,y) = (-96.1143, -10.1478)
1653: (x,y) = (-88.4008, -0.955253)
1654: (x,y) = (-100.284, -2.62533)
1655: (x,y) = (-111.247, 2.25551)
1656: (x,y) = (-121.195, -4.45481)
1657: (x,y) = (-110.319, 0.616614)
1658: (x,y) = (-108.857, 12.5272)
1659: (x,y) = (-98.1648, 7.07928)
1660: (x,y) = (-90.1352, 15.997)
1661: (x,y) = (-100.421, 22.1775)
1662: (x,y) = (-102.505, 33.9952)
1663: (x,y) = (-90.5343, 34.8322)
1664: (x,y) = (-81.3417, 27.1188)
1665: (x,y) = (-91.2902, 33.8291)
1666: (x,y) = (-102.253, 28.9483)
1667: (x,y) = (-103.715, 17.0377)
1668: (x,y) = (-115.408, 14.3383)
1669: (x,y) = (-103.453, 13.2924)
1670: (x,y) = (-112.23, 21.4764)
1671: (x,y) = (-123.765, 18.1688)
1672: (x,y) = (-128.065, 6.9658)
1673: (x,y) = (-116.213, 8.84302)
1674: (x,y) = (-110.395, 19.3385)
1675: (x,y) = (-121.358, 24.2193)
1676: (x,y) = (-131.534, 17.8603)
1677: (x,y) = (-143.227, 15.1608)
1678: (x,y) = (-134.45, 23.3448)
1679: (x,y) = (-144.159, 30.3983)
1680: (x,y) = (-141.869, 42.1778)
1681: (x,y) = (-131.583, 48.3582)
1682: (x,y) = (-138.805, 38.7746)
1683: (x,y) = (-150.34, 35.467)
1684: (x,y) = (-162.032, 38.1664)
1685: (x,y) = (-158.125, 49.5126)
1686: (x,y) = (-155.63, 61.2504)
1687: (x,y) = (-145.035, 55.6167)
1688: (x,y) = (-143.989, 43.6624)
1689: (x,y) = (-139.689, 54.8653)
1690: (x,y) = (-149.145, 62.2533)
1691: (x,y) = (-144.456, 51.2072)
1692: (x,y) = (-147.562, 39.6161)
1693: (x,y) = (-154.098, 49.6802)
1694: (x,y) = (-165.06, 44.7993)
1695: (x,y) = (-177.058, 44.5899)
1696: (x,y) = (-168.282, 52.7739)
1697: (x,y) = (-180.282, 52.7739)
1698: (x,y) = (-180.073, 40.7757)
1699: (x,y) = (-172.851, 50.3593)
1700: (x,y) = (-160.88, 49.5222)
1701: (x,y) = (-163.375, 61.26)
1702: (x,y) = (-153.199, 67.619)
1703: (x,y) = (-156.707, 56.1434)
1704: (x,y) = (-159.406, 44.4509)
1705: (x,y) = (-148.714, 39.0031)
1706: (x,y) = (-138.219, 33.1853)
1707: (x,y) = (-139.265, 21.231)
1708: (x,y) = (-142.168, 32.8746)
1709: (x,y) = (-135.809, 22.698)
1710: (x,y) = (-129.809, 33.0903)
1711: (x,y) = (-118.463, 36.9971)
1712: (x,y) = (-115.968, 25.2593)
1713: (x,y) = (-105.092, 30.3308)
1714: (x,y) = (-105.511, 18.3381)
1715: (x,y) = (-108.21, 6.64562)
1716: (x,y) = (-119.173, 11.5265)
1717: (x,y) = (-126.056, 1.69664)
1718: (x,y) = (-137.018, 6.57747)
1719: (x,y) = (-133.111, -4.76875)
1720: (x,y) = (-131.028, 7.04894)
1721: (x,y) = (-119.615, 10.7571)
1722: (x,y) = (-128.391, 18.9411)
1723: (x,y) = (-116.748, 16.0381)
1724: (x,y) = (-105.055, 13.3387)
1725: (x,y) = (-114.511, 5.95072)
1726: (x,y) = (-112.427, -5.86698)
1727: (x,y) = (-120.3, -14.9235)
1728: (x,y) = (-127.688, -24.3796)
1729: (x,y) = (-131.989, -13.1767)
1730: (x,y) = (-120.018, -12.3396)
1731: (x,y) = (-126.901, -22.1694)
1732: (x,y) = (-137.947, -17.4806)
1733: (x,y) = (-128.239, -24.5341)
1734: (x,y) = (-116.386, -26.4113)
1735: (x,y) = (-108.357, -17.4935)
1736: (x,y) = (-105.454, -29.1371)
1737: (x,y) = (-100.958, -18.0109)
1738: (x,y) = (-89.0041, -16.965)
1739: (x,y) = (-94.8218, -27.4604)
1740: (x,y) = (-83.6956, -22.9652)
1741: (x,y) = (-76.9853, -13.0167)
1742: (x,y) = (-88.6777, -10.3173)
1743: (x,y) = (-83.7969, 0.64525)
1744: (x,y) = (-92.8534, 8.51796)
1745: (x,y) = (-100.241, 17.9741)
1746: (x,y) = (-112.234, 17.5553)
1747: (x,y) = (-100.28, 16.5094)
1748: (x,y) = (-100.698, 4.51673)
1749: (x,y) = (-101.326, 16.5003)
1750: (x,y) = (-107.862, 6.43624)
1751: (x,y) = (-101.862, 16.8285)
1752: (x,y) = (-111.055, 24.542)
1753: (x,y) = (-106.95, 35.8183)
1754: (x,y) = (-113.661, 45.7668)
1755: (x,y) = (-108.78, 34.8042)
1756: (x,y) = (-120.663, 36.4743)
1757: (x,y) = (-120.454, 48.4725)
1758: (x,y) = (-132.306, 50.3497)
1759: (x,y) = (-131.052, 62.2839)
1760: (x,y) = (-139.828, 54.1)
1761: (x,y) = (-130.244, 61.3217)
1762: (x,y) = (-140.421, 67.6808)
1763: (x,y) = (-141.258, 55.71)
1764: (x,y) = (-131.802, 63.0979)
1765: (x,y) = (-121.11, 57.6501)
1766: (x,y) = (-132.701, 60.7559)
1767: (x,y) = (-126.701, 71.1482)
1768: (x,y) = (-135.893, 63.4347)
1769: (x,y) = (-147.631, 65.9297)
1770: (x,y) = (-148.05, 77.9224)
1771: (x,y) = (-158.336, 71.7419)
1772: (x,y) = (-170.219, 70.0718)
1773: (x,y) = (-178.704, 78.5571)
1774: (x,y) = (-166.925, 80.8468)
1775: (x,y) = (-176.117, 88.5603)
1776: (x,y) = (-164.183, 87.3059)
1777: (x,y) = (-162.513, 75.4227)
1778: (x,y) = (-158.409, 86.699)
1779: (x,y) = (-164.589, 96.985)
1780: (x,y) = (-157.706, 106.815)
1781: (x,y) = (-169.35, 109.718)
1782: (x,y) = (-172.658, 121.253)
1783: (x,y) = (-180.842, 112.477)
1784: (x,y) = (-182.304, 124.387)
1785: (x,y) = (-191.222, 132.417)
1786: (x,y) = (-192.268, 120.463)
1787: (x,y) = (-195.171, 108.819)
1788: (x,y) = (-186.835, 100.187)
1789: (x,y) = (-174.982, 102.064)
1790: (x,y) = (-170.294, 113.11)
1791: (x,y) = (-178.63, 104.478)
1792: (x,y) = (-171.919, 94.5297)
1793: (x,y) = (-172.338, 106.522)
1794: (x,y) = (-180.823, 115.008)
1795: (x,y) = (-171.498, 107.456)
1796: (x,y) = (-175.404, 118.802)
1797: (x,y) = (-168.869, 128.866)
1798: (x,y) = (-159.413, 121.478)
1799: (x,y) = (-167.749, 112.846)
1800: (x,y) = (-179.719, 113.683)
1801: (x,y) = (-187.271, 104.357)
1802: (x,y) = (-183.763, 92.8818)
1803: (x,y) = (-177.227, 82.8177)
1804: (x,y) = (-186.42, 90.5312)
1805: (x,y) = (-178.706, 99.7237)
1806: (x,y) = (-176.416, 87.9442)
1807: (x,y) = (-177.462, 75.9898)
1808: (x,y) = (-173.555, 87.3361)
1809: (x,y) = (-183.385, 94.219)
1810: (x,y) = (-193.671, 100.399)
1811: (x,y) = (-195.961, 88.6199)
1812: (x,y) = (-207.437, 85.1115)
1813: (x,y) = (-218.563, 89.6067)
1814: (x,y) = (-228.019, 82.2188)
1815: (x,y) = (-226.142, 94.0711)
1816: (x,y) = (-237.268, 98.5663)
1817: (x,y) = (-247.216, 91.856)
1818: (x,y) = (-254.099, 101.686)
1819: (x,y) = (-242.216, 100.016)
1820: (x,y) = (-230.437, 97.7261)
1821: (x,y) = (-241.222, 102.987)
1822: (x,y) = (-237.514, 114.399)
1823: (x,y) = (-244.902, 104.943)
1824: (x,y) = (-253.086, 96.1668)
1825: (x,y) = (-264.996, 97.6293)
1826: (x,y) = (-271.707, 87.6808)
1827: (x,y) = (-282.983, 83.5766)
1828: (x,y) = (-293.946, 88.4574)
1829: (x,y) = (-287.063, 98.2872)
1830: (x,y) = (-296.646, 105.509)
1831: (x,y) = (-292.739, 94.1628)
1832: (x,y) = (-295.643, 105.806)
1833: (x,y) = (-294.805, 93.8356)
1834: (x,y) = (-284.519, 100.016)
1835: (x,y) = (-282.849, 88.1328)
1836: (x,y) = (-294.385, 91.4404)
1837: (x,y) = (-291.685, 79.748)
1838: (x,y) = (-302.28, 85.3817)
1839: (x,y) = (-301.652, 73.3981)
1840: (x,y) = (-293.939, 82.5906)
1841: (x,y) = (-305.873, 81.3363)
1842: (x,y) = (-296.956, 89.3659)
1843: (x,y) = (-286.891, 95.9015)
1844: (x,y) = (-280.532, 85.725)
1845: (x,y) = (-269.329, 90.0254)
1846: (x,y) = (-277.043, 80.8328)
1847: (x,y) = (-288.895, 82.7101)
1848: (x,y) = (-277.549, 86.6169)
1849: (x,y) = (-266.136, 90.3251)
1850: (x,y) = (-272.495, 100.502)
1851: (x,y) = (-261.62, 95.4302)
1852: (x,y) = (-273.032, 91.722)
1853: (x,y) = (-281.062, 82.8043)
1854: (x,y) = (-284.77, 71.3916)
1855: (x,y) = (-296.768, 71.1822)
1856: (x,y) = (-284.768, 71.1822)
1857: (x,y) = (-292.156, 61.7261)
1858: (x,y) = (-301.349, 69.4395)
1859: (x,y) = (-296.088, 80.225)
1860: (x,y) = (-284.154, 78.9707)
1861: (x,y) = (-276.281, 88.0272)
1862: (x,y) = (-264.311, 87.1901)
1863: (x,y) = (-275.657, 91.097)
1864: (x,y) = (-287.657, 91.097)
1865: (x,y) = (-282.396, 101.882)
1866: (x,y) = (-270.659, 99.3875)
1867: (x,y) = (-279.576, 91.358)
1868: (x,y) = (-287.29, 82.1654)
1869: (x,y) = (-293.29, 92.5577)
1870: (x,y) = (-303.785, 86.74)
1871: (x,y) = (-315.376, 89.8459)
1872: (x,y) = (-324.702, 82.294)
1873: (x,y) = (-335.197, 76.4763)
1874: (x,y) = (-346.61, 72.7681)
1875: (x,y) = (-351.871, 83.5536)
1876: (x,y) = (-343.094, 91.7376)
1877: (x,y) = (-331.402, 89.0382)
1878: (x,y) = (-337.036, 99.6336)
1879: (x,y) = (-346.092, 107.506)
1880: (x,y) = (-334.557, 104.199)
1881: (x,y) = (-326.072, 112.684)
1882: (x,y) = (-323.988, 124.502)
1883: (x,y) = (-319.493, 113.375)
1884: (x,y) = (-327.677, 104.599)
1885: (x,y) = (-339.023, 100.692)
1886: (x,y) = (-344.283, 89.9068)
1887: (x,y) = (-332.692, 86.801)
1888: (x,y) = (-343.895, 91.1014)
1889: (x,y) = (-337.715, 80.8154)
1890: (x,y) = (-325.78, 82.0697)
1891: (x,y) = (-315.494, 88.2502)
1892: (x,y) = (-326.186, 82.8023)
1893: (x,y) = (-316.603, 90.0241)
1894: (x,y) = (-328.295, 87.3247)
1895: (x,y) = (-324.191, 76.0483)
1896: (x,y) = (-321.288, 87.6919)
1897: (x,y) = (-331.352, 94.2276)
1898: (x,y) = (-340.409, 86.3549)
1899: (x,y) = (-346.042, 75.7595)
1900: (x,y) = (-335.756, 69.579)
1901: (x,y) = (-345.212, 62.1911)
1902: (x,y) = (-352.095, 52.3613)
1903: (x,y) = (-355.803, 63.7739)
1904: (x,y) = (-346.347, 56.386)
1905: (x,y) = (-350.452, 67.6623)
1906: (x,y) = (-359.084, 75.9982)
1907: (x,y) = (-364.155, 86.8739)
1908: (x,y) = (-376.089, 85.6196)
1909: (x,y) = (-388.044, 86.6654)
1910: (x,y) = (-398.736, 92.1133)
1911: (x,y) = (-408.444, 99.1667)
1912: (x,y) = (-420.035, 102.273)
1913: (x,y) = (-431.989, 101.227)
1914: (x,y) = (-428.481, 89.7511)
1915: (x,y) = (-419.288, 82.0376)
1916: (x,y) = (-414.988, 93.2406)
1917: (x,y) = (-407.935, 83.5324)
1918: (x,y) = (-395.98, 82.4865)
1919: (x,y) = (-393.281, 94.1789)
1920: (x,y) = (-385.408, 103.235)
1921: (x,y) = (-394.601, 110.949)
1922: (x,y) = (-399.672, 121.825)
1923: (x,y) = (-404.167, 110.698)
1924: (x,y) = (-395.831, 102.066)
1925: (x,y) = (-396.459, 90.0828)
1926: (x,y) = (-403.17, 80.1343)
1927: (x,y) = (-415.022, 78.2571)
1928: (x,y) = (-404.059, 83.1379)
1929: (x,y) = (-400.551, 94.6136)
1930: (x,y) = (-412.549, 94.823)
1931: (x,y) = (-404.365, 103.599)
1932: (x,y) = (-411.248, 113.429)
1933: (x,y) = (-400.372, 118.501)
1934: (x,y) = (-390.308, 111.965)
1935: (x,y) = (-387.813, 123.703)
1936: (x,y) = (-375.813, 123.703)
1937: (x,y) = (-384.445, 115.367)
1938: (x,y) = (-396.138, 112.667)
1939: (x,y) = (-386.189, 105.957)
1940: (x,y) = (-385.144, 117.911)
1941: (x,y) = (-393.48, 109.279)
1942: (x,y) = (-405.217, 106.784)
1943: (x,y) = (-416.693, 110.293)
1944: (x,y) = (-428.336, 107.39)
1945: (x,y) = (-416.366, 108.227)
1946: (x,y) = (-418.861, 119.965)
1947: (x,y) = (-425.041, 130.251)
1948: (x,y) = (-434.367, 137.802)
1949: (x,y) = (-428.008, 127.626)
1950: (x,y) = (-432.112, 138.902)
1951: (x,y) = (-421.15, 134.021)
1952: (x,y) = (-416.654, 122.895)
1953: (x,y) = (-410.654, 112.503)
1954: (x,y) = (-422.472, 114.587)
1955: (x,y) = (-423.726, 126.521)
1956: (x,y) = (-428.798, 115.645)
1957: (x,y) = (-439.084, 121.826)
1958: (x,y) = (-428.121, 116.945)
1959: (x,y) = (-422.673, 106.253)
1960: (x,y) = (-428.673, 116.645)
1961: (x,y) = (-440.584, 115.183)
1962: (x,y) = (-452.582, 114.973)
1963: (x,y) = (-447.134, 125.665)
1964: (x,y) = (-442.253, 136.628)
1965: (x,y) = (-430.977, 132.523)
1966: (x,y) = (-442.975, 132.314)
1967: (x,y) = (-452.168, 124.601)
1968: (x,y) = (-462.232, 131.136)
1969: (x,y) = (-468.232, 120.744)
1970: (x,y) = (-475.784, 130.07)
1971: (x,y) = (-465.835, 123.359)
1972: (x,y) = (-472.889, 113.651)
1973: (x,y) = (-470.189, 125.344)
1974: (x,y) = (-462.476, 134.536)
1975: (x,y) = (-451.349, 130.041)
1976: (x,y) = (-449.472, 118.189)
1977: (x,y) = (-449.263, 106.19)
1978: (x,y) = (-443.445, 116.686)
1979: (x,y) = (-450.997, 126.012)
1980: (x,y) = (-462.343, 129.918)
1981: (x,y) = (-470.527, 121.142)
1982: (x,y) = (-466.819, 132.555)
1983: (x,y) = (-468.696, 144.407)
1984: (x,y) = (-464.592, 133.131)
1985: (x,y) = (-454.643, 126.421)
1986: (x,y) = (-442.906, 123.926)
1987: (x,y) = (-436.37, 133.99)
1988: (x,y) = (-429.834, 123.926)
1989: (x,y) = (-434.715, 134.888)
1990: (x,y) = (-437.005, 123.109)
1991: (x,y) = (-439.704, 134.801)
1992: (x,y) = (-431.072, 126.465)
1993: (x,y) = (-442.765, 123.766)
1994: (x,y) = (-438.269, 112.64)
1995: (x,y) = (-426.271, 112.849)
1996: (x,y) = (-434.903, 104.513)
1997: (x,y) = (-427.682, 114.097)
1998: (x,y) = (-434.392, 124.045)
1999: (x,y) = (-441.275, 133.875)
2000: (x,y) = (-441.903, 145.859)
2001: (x,y) = (-437.022, 134.896)
2002: (x,y) = (-449.006, 134.268)
2003: (x,y) = (-437.593, 137.976)
2004: (x,y) = (-430.041, 147.302)
2005: (x,y) = (-435.112, 136.426)
2006: (x,y) = (-447.083, 137.263)
2007: (x,y) = (-448.546, 125.353)
2008: (x,y) = (-452.254, 136.765)
2009: (x,y) = (-440.32, 135.511)
2010: (x,y) = (-448.504, 144.287)
2011: (x,y) = (-437.541, 149.168)
2012: (x,y) = (-441.448, 137.822)
2013: (x,y) = (-429.537, 136.36)
2014: (x,y) = (-417.627, 137.822)
2015: (x,y) = (-411.627, 127.43)
2016: (x,y) = (-400.151, 130.938)
2017: (x,y) = (-410.543, 124.938)
2018: (x,y) = (-421.139, 119.304)
2019: (x,y) = (-431.531, 113.304)
2020: (x,y) = (-438.919, 122.761)
2021: (x,y) = (-437.042, 134.613)
2022: (x,y) = (-436.205, 146.584)
2023: (x,y) = (-424.561, 149.487)
2024: (x,y) = (-417.173, 158.943)
2025: (x,y) = (-422.621, 148.251)
2026: (x,y) = (-410.623, 148.041)
2027: (x,y) = (-413.931, 136.506)
2028: (x,y) = (-402.884, 141.195)
2029: (x,y) = (-407.765, 152.157)
2030: (x,y) = (-408.393, 164.141)
2031: (x,y) = (-406.104, 152.361)
2032: (x,y) = (-409.812, 163.774)
2033: (x,y) = (-416.865, 154.066)
2034: (x,y) = (-404.895, 153.229)
2035: (x,y) = (-395.977, 161.258)
2036: (x,y) = (-395.14, 173.229)
2037: (x,y) = (-395.768, 185.213)
2038: (x,y) = (-395.14, 173.229)
2039: (x,y) = (-388.781, 183.406)
2040: (x,y) = (-380.445, 174.774)
2041: (x,y) = (-379.19, 186.708)
2042: (x,y) = (-367.547, 189.611)
2043: (x,y) = (-376.739, 181.898)
2044: (x,y) = (-388.694, 180.852)
2045: (x,y) = (-398.402, 187.905)
2046: (x,y) = (-386.418, 188.533)
2047: (x,y) = (-391.49, 177.657)
2048: (x,y) = (-379.71, 179.947)
2049: (x,y) = (-369.534, 186.306)
2050: (x,y) = (-380.88, 182.399)
2051: (x,y) = (-377.977, 170.756)
2052: (x,y) = (-377.767, 182.754)
2053: (x,y) = (-376.722, 170.8)
2054: (x,y) = (-387.998, 166.695)
2055: (x,y) = (-394.357, 156.519)
2056: (x,y) = (-389.286, 167.395)
2057: (x,y) = (-401.023, 164.9)
2058: (x,y) = (-391.967, 157.027)
2059: (x,y) = (-402.143, 163.386)
2060: (x,y) = (-390.291, 161.509)
2061: (x,y) = (-381.659, 153.173)
2062: (x,y) = (-371.595, 146.637)
2063: (x,y) = (-372.641, 134.683)
