Target Distance: 123, Step Size: 21
668: (x,y) = (-1776.66, 2330.73)
669: (x,y) = (-1681.07, 2253.32)
670: (x,y) = (-1600.38, 2160.49)
671: (x,y) = (-1615.37, 2038.41)
672: (x,y) = (-1615.37, 2161.41)
673: (x,y) = (-1659.45, 2276.24)
674: (x,y) = (-1537.36, 2261.25)
675: (x,y) = (-1628.77, 2178.95)
676: (x,y) = (-1737.37, 2121.2)
677: (x,y) = (-1839.35, 2189.98)
678: (x,y) = (-1953.39, 2143.91)
679: (x,y) = (-1976.86, 2264.65)
680: (x,y) = (-2022.94, 2150.6)
681: (x,y) = (-1928.71, 2071.54)
682: (x,y) = (-1819.12, 2015.7)
683: (x,y) = (-1882.47, 1910.27)
684: (x,y) = (-1984.44, 1841.49)
685: (x,y) = (-1871.22, 1889.55)
686: (x,y) = (-1751.37, 1917.22)
687: (x,y) = (-1705.29, 1803.17)
688: (x,y) = (-1826.03, 1779.7)
689: (x,y) = (-1748.63, 1875.29)
690: (x,y) = (-1759.35, 1752.76)
691: (x,y) = (-1737.99, 1873.89)
692: (x,y) = (-1733.7, 1750.97)
693: (x,y) = (-1611.89, 1733.85)
694: (x,y) = (-1493.08, 1765.68)
695: (x,y) = (-1526.99, 1647.45)
696: (x,y) = (-1432.76, 1568.38)
697: (x,y) = (-1325.19, 1508.75)
698: (x,y) = (-1239.74, 1420.27)
699: (x,y) = (-1149.79, 1336.39)
700: (x,y) = (-1040.19, 1392.23)
701: (x,y) = (-978.692, 1498.75)
702: (x,y) = (-1099.82, 1477.39)
703: (x,y) = (-978.338, 1496.63)
704: (x,y) = (-1052.36, 1398.4)
705: (x,y) = (-1149.29, 1474.13)
706: (x,y) = (-1062.31, 1387.15)
707: (x,y) = (-942.465, 1414.82)
708: (x,y) = (-925.346, 1293.02)
709: (x,y) = (-891.443, 1411.25)
710: (x,y) = (-952.943, 1304.73)
711: (x,y) = (-1052.45, 1232.44)
712: (x,y) = (-1088.41, 1350.06)
713: (x,y) = (-965.433, 1352.21)
714: (x,y) = (-917.373, 1465.43)
715: (x,y) = (-796.241, 1444.07)
716: (x,y) = (-906.793, 1390.15)
717: (x,y) = (-900.356, 1267.32)
718: (x,y) = (-891.776, 1390.02)
719: (x,y) = (-821.226, 1289.26)
720: (x,y) = (-926.657, 1352.61)
721: (x,y) = (-1046, 1322.86)
722: (x,y) = (-968.597, 1418.45)
723: (x,y) = (-1089.34, 1394.98)
724: (x,y) = (-985.027, 1460.16)
725: (x,y) = (-863.542, 1479.4)
726: (x,y) = (-917.461, 1589.95)
727: (x,y) = (-1010.29, 1509.25)
728: (x,y) = (-1040.05, 1628.6)
729: (x,y) = (-917.216, 1622.16)
730: (x,y) = (-1029.58, 1672.19)
731: (x,y) = (-914, 1630.12)
732: (x,y) = (-828.557, 1541.65)
733: (x,y) = (-706.754, 1524.53)
734: (x,y) = (-827.885, 1545.89)
735: (x,y) = (-851.354, 1425.15)
736: (x,y) = (-728.373, 1427.29)
737: (x,y) = (-674.454, 1537.84)
738: (x,y) = (-580.23, 1458.78)
739: (x,y) = (-664.116, 1548.74)
740: (x,y) = (-782.925, 1516.9)
741: (x,y) = (-893.476, 1462.98)
742: (x,y) = (-821.179, 1562.49)
743: (x,y) = (-944.16, 1560.35)
744: (x,y) = (-829.33, 1516.27)
745: (x,y) = (-950.461, 1494.91)
746: (x,y) = (-1004.38, 1384.36)
747: (x,y) = (-1015.1, 1506.89)
748: (x,y) = (-1137.63, 1517.61)
749: (x,y) = (-1081.79, 1408.01)
750: (x,y) = (-1111.55, 1288.67)
751: (x,y) = (-1126.54, 1410.75)
752: (x,y) = (-1198.84, 1311.24)
753: (x,y) = (-1285.81, 1398.22)
754: (x,y) = (-1185.05, 1327.67)
755: (x,y) = (-1112.76, 1228.16)
756: (x,y) = (-992.445, 1202.58)
757: (x,y) = (-1090.68, 1128.56)
758: (x,y) = (-1213.66, 1126.41)
759: (x,y) = (-1336.49, 1132.85)
760: (x,y) = (-1214.69, 1115.73)
761: (x,y) = (-1337.01, 1128.59)
762: (x,y) = (-1451.84, 1172.67)
763: (x,y) = (-1415.88, 1290.29)
764: (x,y) = (-1530.71, 1334.37)
765: (x,y) = (-1623.54, 1253.68)
766: (x,y) = (-1727.85, 1188.5)
767: (x,y) = (-1629.62, 1114.48)
768: (x,y) = (-1650.98, 993.344)
769: (x,y) = (-1573.57, 1088.93)
770: (x,y) = (-1647.59, 1187.17)
771: (x,y) = (-1703.44, 1296.76)
772: (x,y) = (-1777.46, 1394.99)
773: (x,y) = (-1701.73, 1298.07)
774: (x,y) = (-1706.02, 1175.14)
775: (x,y) = (-1802.95, 1099.41)
776: (x,y) = (-1913.5, 1045.49)
777: (x,y) = (-1973.13, 1153.07)
778: (x,y) = (-2094.62, 1172.31)
779: (x,y) = (-2044.59, 1284.68)
780: (x,y) = (-2042.44, 1407.66)
781: (x,y) = (-2112.99, 1508.42)
782: (x,y) = (-2117.29, 1385.49)
783: (x,y) = (-2008.68, 1327.75)
784: (x,y) = (-2126.92, 1361.65)
785: (x,y) = (-2152.49, 1241.34)
786: (x,y) = (-2270.73, 1207.44)
787: (x,y) = (-2387.03, 1247.48)
788: (x,y) = (-2498.5, 1299.46)
789: (x,y) = (-2607.1, 1357.21)
790: (x,y) = (-2571.14, 1474.83)
791: (x,y) = (-2505.96, 1579.14)
792: (x,y) = (-2501.67, 1702.07)
793: (x,y) = (-2617.25, 1744.14)
794: (x,y) = (-2687.8, 1643.38)
795: (x,y) = (-2677.08, 1765.91)
796: (x,y) = (-2721.16, 1651.08)
797: (x,y) = (-2619.19, 1719.86)
798: (x,y) = (-2701.49, 1628.46)
799: (x,y) = (-2638.14, 1733.89)
800: (x,y) = (-2555.84, 1642.48)
801: (x,y) = (-2434.35, 1623.24)
802: (x,y) = (-2321.13, 1575.18)
803: (x,y) = (-2386.31, 1470.87)
804: (x,y) = (-2375.59, 1348.34)
805: (x,y) = (-2288.62, 1435.31)
806: (x,y) = (-2166.53, 1420.32)
807: (x,y) = (-2044.45, 1405.33)
808: (x,y) = (-2046.6, 1282.35)
809: (x,y) = (-2159.82, 1234.29)
810: (x,y) = (-2057.85, 1165.51)
811: (x,y) = (-2087.6, 1284.86)
812: (x,y) = (-2041.53, 1170.81)
813: (x,y) = (-2050.11, 1293.51)
814: (x,y) = (-2170.85, 1316.98)
815: (x,y) = (-2093.44, 1412.57)
816: (x,y) = (-2174.14, 1319.74)
817: (x,y) = (-2100.11, 1221.51)
818: (x,y) = (-2001.88, 1147.49)
819: (x,y) = (-2124.86, 1145.34)
820: (x,y) = (-2243.1, 1111.44)
821: (x,y) = (-2142.34, 1040.89)
822: (x,y) = (-2046.75, 963.48)
823: (x,y) = (-1941.32, 900.131)
824: (x,y) = (-1835.89, 836.781)
825: (x,y) = (-1744.48, 919.084)
826: (x,y) = (-1631.26, 967.144)
827: (x,y) = (-1708.67, 871.555)
828: (x,y) = (-1786.07, 775.966)
829: (x,y) = (-1693.25, 856.661)
830: (x,y) = (-1600.42, 937.357)
831: (x,y) = (-1719.22, 905.522)
832: (x,y) = (-1597.14, 920.512)
833: (x,y) = (-1699.11, 851.731)
834: (x,y) = (-1764.29, 747.421)
835: (x,y) = (-1650.25, 793.498)
836: (x,y) = (-1769.06, 825.333)
837: (x,y) = (-1702.07, 928.489)
838: (x,y) = (-1710.65, 1051.19)
839: (x,y) = (-1631.59, 1145.41)
840: (x,y) = (-1740.19, 1087.67)
841: (x,y) = (-1844.5, 1022.49)
842: (x,y) = (-1846.64, 899.507)
843: (x,y) = (-1792.72, 1010.06)
844: (x,y) = (-1754.72, 1127.04)
845: (x,y) = (-1655.21, 1199.34)
846: (x,y) = (-1550.9, 1134.16)
847: (x,y) = (-1617.89, 1031)
848: (x,y) = (-1701.77, 941.043)
849: (x,y) = (-1751.8, 1053.41)
850: (x,y) = (-1697.88, 1163.96)
851: (x,y) = (-1685.02, 1286.29)
852: (x,y) = (-1804.87, 1258.62)
853: (x,y) = (-1754.84, 1370.98)
854: (x,y) = (-1655.33, 1298.69)
855: (x,y) = (-1772.96, 1262.72)
856: (x,y) = (-1873.72, 1333.27)
857: (x,y) = (-1766.14, 1273.64)
858: (x,y) = (-1690.41, 1370.57)
859: (x,y) = (-1572.79, 1334.61)
860: (x,y) = (-1653.48, 1427.44)
861: (x,y) = (-1584.7, 1529.41)
862: (x,y) = (-1707.7, 1529.41)
863: (x,y) = (-1815.28, 1469.78)
864: (x,y) = (-1914.79, 1542.07)
865: (x,y) = (-1842.49, 1641.58)
866: (x,y) = (-1741.73, 1571.03)
867: (x,y) = (-1703.73, 1688.01)
868: (x,y) = (-1631.43, 1787.52)
869: (x,y) = (-1747.01, 1829.59)
870: (x,y) = (-1661.57, 1741.11)
871: (x,y) = (-1573.09, 1826.55)
872: (x,y) = (-1535.08, 1709.57)
873: (x,y) = (-1430.77, 1644.39)
874: (x,y) = (-1309.28, 1663.64)
875: (x,y) = (-1402.11, 1744.33)
876: (x,y) = (-1494.94, 1663.64)
877: (x,y) = (-1439.1, 1773.23)
878: (x,y) = (-1356.8, 1681.82)
879: (x,y) = (-1365.38, 1559.12)
880: (x,y) = (-1464.89, 1631.42)
881: (x,y) = (-1414.86, 1519.05)
882: (x,y) = (-1327.88, 1432.08)
883: (x,y) = (-1304.42, 1311.34)
884: (x,y) = (-1332.08, 1191.49)
885: (x,y) = (-1233.85, 1265.52)
886: (x,y) = (-1337.01, 1332.51)
887: (x,y) = (-1379.08, 1448.09)
888: (x,y) = (-1370.5, 1325.39)
889: (x,y) = (-1492.3, 1308.27)
890: (x,y) = (-1599.88, 1248.64)
891: (x,y) = (-1619.12, 1127.15)
892: (x,y) = (-1503.54, 1169.22)
893: (x,y) = (-1579.26, 1266.15)
894: (x,y) = (-1458.95, 1291.72)
895: (x,y) = (-1435.48, 1412.46)
896: (x,y) = (-1393.41, 1296.88)
897: (x,y) = (-1280.19, 1248.82)
898: (x,y) = (-1354.21, 1347.05)
899: (x,y) = (-1364.93, 1224.52)
900: (x,y) = (-1398.84, 1106.28)
901: (x,y) = (-1381.72, 1228.09)
902: (x,y) = (-1302.66, 1133.86)
903: (x,y) = (-1400.89, 1207.88)
904: (x,y) = (-1390.17, 1085.35)
905: (x,y) = (-1451.67, 1191.87)
906: (x,y) = (-1417.77, 1310.11)
907: (x,y) = (-1516, 1384.13)
908: (x,y) = (-1520.29, 1507.06)
909: (x,y) = (-1637.27, 1469.05)
910: (x,y) = (-1516.14, 1490.41)
911: (x,y) = (-1424.73, 1572.71)
912: (x,y) = (-1530.16, 1509.36)
913: (x,y) = (-1605.89, 1606.29)
914: (x,y) = (-1515.93, 1522.4)
915: (x,y) = (-1513.79, 1645.38)
916: (x,y) = (-1632.02, 1679.28)
917: (x,y) = (-1642.74, 1801.82)
918: (x,y) = (-1756.79, 1847.89)
919: (x,y) = (-1666.83, 1764.01)
920: (x,y) = (-1763.75, 1688.28)
921: (x,y) = (-1700.41, 1582.85)
922: (x,y) = (-1822.94, 1593.57)
923: (x,y) = (-1924.91, 1662.35)
924: (x,y) = (-1803.78, 1683.71)
925: (x,y) = (-1890.75, 1596.74)
926: (x,y) = (-1867.28, 1475.99)
927: (x,y) = (-1751.7, 1433.93)
928: (x,y) = (-1841.66, 1350.04)
929: (x,y) = (-1953.13, 1298.06)
930: (x,y) = (-1843.54, 1353.9)
931: (x,y) = (-1828.55, 1475.98)
932: (x,y) = (-1709.2, 1505.74)
933: (x,y) = (-1815.72, 1567.24)
934: (x,y) = (-1763.74, 1678.71)
935: (x,y) = (-1665.51, 1604.69)
936: (x,y) = (-1746.2, 1697.52)
937: (x,y) = (-1657.73, 1612.08)
938: (x,y) = (-1534.74, 1609.93)
939: (x,y) = (-1582.8, 1496.71)
940: (x,y) = (-1700.43, 1532.67)
941: (x,y) = (-1586.39, 1486.59)
942: (x,y) = (-1475.83, 1432.67)
943: (x,y) = (-1354.7, 1411.32)
944: (x,y) = (-1437.01, 1502.72)
945: (x,y) = (-1332.7, 1567.9)
946: (x,y) = (-1445.92, 1615.96)
947: (x,y) = (-1463.04, 1494.16)
948: (x,y) = (-1443.79, 1615.65)
949: (x,y) = (-1325.56, 1581.74)
950: (x,y) = (-1279.48, 1467.7)
951: (x,y) = (-1400.22, 1491.17)
952: (x,y) = (-1322.82, 1586.76)
953: (x,y) = (-1202.08, 1563.29)
954: (x,y) = (-1227.65, 1683.6)
955: (x,y) = (-1349.73, 1698.59)
956: (x,y) = (-1416.72, 1595.43)
957: (x,y) = (-1529.95, 1547.37)
958: (x,y) = (-1549.19, 1425.89)
959: (x,y) = (-1608.82, 1318.31)
960: (x,y) = (-1543.64, 1214)
961: (x,y) = (-1484.01, 1106.42)
962: (x,y) = (-1594.56, 1160.34)
963: (x,y) = (-1618.03, 1281.08)
964: (x,y) = (-1588.27, 1400.43)
965: (x,y) = (-1640.25, 1288.95)
966: (x,y) = (-1734.48, 1209.89)
967: (x,y) = (-1612.67, 1227.01)
968: (x,y) = (-1517.09, 1304.41)
969: (x,y) = (-1540.56, 1183.67)
970: (x,y) = (-1655.39, 1139.59)
971: (x,y) = (-1685.14, 1020.25)
972: (x,y) = (-1740.98, 910.653)
973: (x,y) = (-1713.31, 790.806)
974: (x,y) = (-1605.74, 731.174)
975: (x,y) = (-1484.6, 709.816)
976: (x,y) = (-1607.59, 711.962)
977: (x,y) = (-1714.11, 773.462)
978: (x,y) = (-1615.87, 847.486)
979: (x,y) = (-1659.95, 962.316)
980: (x,y) = (-1745.4, 873.837)
981: (x,y) = (-1721.93, 994.577)
982: (x,y) = (-1747.5, 1114.89)
983: (x,y) = (-1789.57, 999.307)
984: (x,y) = (-1741.51, 1112.53)
985: (x,y) = (-1715.94, 1232.84)
986: (x,y) = (-1718.08, 1109.86)
987: (x,y) = (-1792.11, 1208.09)
988: (x,y) = (-1897.54, 1271.44)
989: (x,y) = (-2016.35, 1303.28)
990: (x,y) = (-2095.41, 1209.05)
991: (x,y) = (-2080.42, 1086.97)
992: (x,y) = (-1967.2, 1135.03)
993: (x,y) = (-2009.27, 1019.45)
994: (x,y) = (-1945.92, 1124.88)
995: (x,y) = (-2060.75, 1168.96)
996: (x,y) = (-2125.93, 1273.27)
997: (x,y) = (-2224.16, 1347.29)
998: (x,y) = (-2188.2, 1229.67)
999: (x,y) = (-2236.26, 1116.44)
1000: (x,y) = (-2139.33, 1192.17)
1001: (x,y) = (-2183.41, 1307)
1002: (x,y) = (-2211.08, 1426.85)
1003: (x,y) = (-2135.35, 1329.92)
1004: (x,y) = (-2240.78, 1393.27)
1005: (x,y) = (-2288.84, 1506.5)
1006: (x,y) = (-2271.73, 1628.3)
1007: (x,y) = (-2233.72, 1745.28)
1008: (x,y) = (-2333.23, 1817.58)
1009: (x,y) = (-2220, 1769.52)
1010: (x,y) = (-2194.43, 1649.2)
1011: (x,y) = (-2073.69, 1625.73)
1012: (x,y) = (-2145.99, 1725.24)
1013: (x,y) = (-2145.99, 1602.24)
1014: (x,y) = (-2212.98, 1705.4)
1015: (x,y) = (-2272.61, 1597.82)
1016: (x,y) = (-2196.88, 1694.75)
1017: (x,y) = (-2111.44, 1783.23)
1018: (x,y) = (-1988.74, 1791.81)
1019: (x,y) = (-2096.32, 1851.44)
1020: (x,y) = (-2010.88, 1762.96)
1021: (x,y) = (-2100.83, 1846.84)
1022: (x,y) = (-2025.11, 1943.77)
1023: (x,y) = (-1930.88, 2022.83)
1024: (x,y) = (-2041.43, 2076.75)
1025: (x,y) = (-2135.66, 2155.81)
1026: (x,y) = (-2233.89, 2229.84)
1027: (x,y) = (-2183.86, 2342.2)
1028: (x,y) = (-2262.92, 2247.98)
1029: (x,y) = (-2316.84, 2137.43)
1030: (x,y) = (-2249.85, 2240.59)
1031: (x,y) = (-2228.49, 2361.72)
1032: (x,y) = (-2117.94, 2415.64)
1033: (x,y) = (-2160.01, 2531.22)
1034: (x,y) = (-2037.09, 2535.51)
1035: (x,y) = (-2159.41, 2522.65)
1036: (x,y) = (-2205.49, 2636.7)
1037: (x,y) = (-2299.71, 2715.76)
1038: (x,y) = (-2214.27, 2627.28)
1039: (x,y) = (-2256.34, 2742.86)
1040: (x,y) = (-2133.51, 2749.3)
1041: (x,y) = (-2256.49, 2751.45)
1042: (x,y) = (-2290.39, 2633.21)
1043: (x,y) = (-2305.38, 2511.13)
1044: (x,y) = (-2208.46, 2586.86)
1045: (x,y) = (-2085.62, 2593.29)
1046: (x,y) = (-2189.93, 2658.47)
1047: (x,y) = (-2067.4, 2669.19)
1048: (x,y) = (-1944.57, 2662.76)
1049: (x,y) = (-2066.9, 2675.61)
1050: (x,y) = (-2188.7, 2658.5)
1051: (x,y) = (-2073.87, 2702.57)
1052: (x,y) = (-2127.79, 2592.02)
1053: (x,y) = (-2020.21, 2651.65)
1054: (x,y) = (-2049.97, 2532.31)
1055: (x,y) = (-1927.14, 2538.75)
1056: (x,y) = (-1942.13, 2416.66)
1057: (x,y) = (-2040.36, 2490.69)
1058: (x,y) = (-2162.68, 2503.54)
1059: (x,y) = (-2042.84, 2531.21)
1060: (x,y) = (-2144.81, 2599.99)
1061: (x,y) = (-2180.77, 2717.62)
1062: (x,y) = (-2063.79, 2755.63)
1063: (x,y) = (-2173.38, 2811.47)
1064: (x,y) = (-2190.5, 2933.27)
1065: (x,y) = (-2298.08, 2873.64)
1066: (x,y) = (-2242.24, 2764.05)
1067: (x,y) = (-2119.31, 2768.34)
1068: (x,y) = (-2003.02, 2808.38)
1069: (x,y) = (-2085.32, 2716.98)
1070: (x,y) = (-2072.46, 2594.65)
1071: (x,y) = (-2100.13, 2714.5)
1072: (x,y) = (-1991.53, 2656.75)
1073: (x,y) = (-1926.35, 2761.06)
1074: (x,y) = (-2049.18, 2767.5)
1075: (x,y) = (-2160.66, 2715.52)
1076: (x,y) = (-2122.65, 2598.54)
1077: (x,y) = (-2082.6, 2714.84)
1078: (x,y) = (-2110.27, 2594.99)
1079: (x,y) = (-2110.27, 2471.99)
1080: (x,y) = (-2182.57, 2571.5)
1081: (x,y) = (-2191.15, 2694.2)
1082: (x,y) = (-2092.92, 2768.22)
1083: (x,y) = (-2200.49, 2708.59)
1084: (x,y) = (-2296.08, 2631.18)
1085: (x,y) = (-2174.95, 2652.54)
1086: (x,y) = (-2217.02, 2536.96)
1087: (x,y) = (-2255.03, 2653.94)
1088: (x,y) = (-2327.33, 2753.45)
1089: (x,y) = (-2381.25, 2864)
1090: (x,y) = (-2391.97, 2986.53)
1091: (x,y) = (-2491.48, 3058.83)
1092: (x,y) = (-2375.89, 3100.9)
1093: (x,y) = (-2325.87, 2988.53)
1094: (x,y) = (-2430.18, 2923.35)
1095: (x,y) = (-2512.48, 2831.95)
1096: (x,y) = (-2591.54, 2737.72)
1097: (x,y) = (-2570.18, 2858.85)
1098: (x,y) = (-2559.46, 2981.39)
1099: (x,y) = (-2597.47, 2864.41)
1100: (x,y) = (-2717.78, 2889.98)
1101: (x,y) = (-2817.29, 2962.28)
1102: (x,y) = (-2880.64, 2856.84)
1103: (x,y) = (-2904.11, 2736.1)
1104: (x,y) = (-2923.35, 2857.59)
1105: (x,y) = (-2867.51, 2967.18)
1106: (x,y) = (-2757.92, 3023.02)
1107: (x,y) = (-2856.15, 3097.05)
1108: (x,y) = (-2940.04, 3187)
1109: (x,y) = (-2890.01, 3299.37)
1110: (x,y) = (-2938.07, 3412.59)
1111: (x,y) = (-3051.29, 3460.65)
1112: (x,y) = (-3138.26, 3547.63)
1113: (x,y) = (-3203.44, 3443.32)
1114: (x,y) = (-3112.04, 3361.01)
1115: (x,y) = (-3150.05, 3477.99)
1116: (x,y) = (-3270.79, 3454.52)
1117: (x,y) = (-3386.37, 3496.59)
1118: (x,y) = (-3350.41, 3614.22)
1119: (x,y) = (-3306.33, 3729.05)
1120: (x,y) = (-3266.28, 3845.35)
1121: (x,y) = (-3165.53, 3915.9)
1122: (x,y) = (-3139.95, 3795.59)
1123: (x,y) = (-3163.42, 3674.84)
1124: (x,y) = (-3066.5, 3750.57)
1125: (x,y) = (-3189.48, 3752.72)
1126: (x,y) = (-3159.72, 3633.37)
1127: (x,y) = (-3268.33, 3575.63)
1128: (x,y) = (-3370.3, 3506.85)
1129: (x,y) = (-3489.64, 3477.09)
1130: (x,y) = (-3383.12, 3538.59)
1131: (x,y) = (-3327.28, 3429)
1132: (x,y) = (-3433.8, 3490.5)
1133: (x,y) = (-3444.52, 3367.96)
1134: (x,y) = (-3356.04, 3453.41)
1135: (x,y) = (-3461.48, 3390.06)
1136: (x,y) = (-3407.56, 3279.51)
1137: (x,y) = (-3286.42, 3300.86)
1138: (x,y) = (-3309.89, 3180.12)
1139: (x,y) = (-3212.97, 3255.85)
1140: (x,y) = (-3135.56, 3160.26)
1141: (x,y) = (-3240.99, 3096.91)
1142: (x,y) = (-3165.27, 3193.84)
1143: (x,y) = (-3042.27, 3193.84)
1144: (x,y) = (-2959.96, 3102.43)
1145: (x,y) = (-2853.44, 3163.93)
1146: (x,y) = (-2929.17, 3260.86)
1147: (x,y) = (-3051.25, 3275.85)
1148: (x,y) = (-3112.75, 3382.37)
1149: (x,y) = (-3070.68, 3497.95)
1150: (x,y) = (-3096.26, 3618.26)
1151: (x,y) = (-3215.6, 3648.02)
1152: (x,y) = (-3130.16, 3559.54)
1153: (x,y) = (-3100.4, 3440.19)
1154: (x,y) = (-3220.72, 3414.62)
1155: (x,y) = (-3294.74, 3512.85)
1156: (x,y) = (-3210.85, 3602.81)
1157: (x,y) = (-3213, 3725.79)
1158: (x,y) = (-3335.98, 3723.64)
1159: (x,y) = (-3458.31, 3736.5)
1160: (x,y) = (-3458.31, 3859.5)
1161: (x,y) = (-3340.68, 3895.46)
1162: (x,y) = (-3463.66, 3897.61)
1163: (x,y) = (-3523.3, 3790.03)
1164: (x,y) = (-3413.7, 3734.19)
1165: (x,y) = (-3521.28, 3793.82)
1166: (x,y) = (-3618.21, 3718.09)
1167: (x,y) = (-3703.65, 3806.57)
1168: (x,y) = (-3588.82, 3762.49)
1169: (x,y) = (-3706.44, 3798.46)
1170: (x,y) = (-3603.29, 3865.45)
1171: (x,y) = (-3701.52, 3791.42)
1172: (x,y) = (-3802.28, 3861.97)
1173: (x,y) = (-3823.63, 3740.84)
1174: (x,y) = (-3703.79, 3713.17)
1175: (x,y) = (-3584.44, 3683.42)
1176: (x,y) = (-3517.45, 3786.57)
1177: (x,y) = (-3457.82, 3894.15)
1178: (x,y) = (-3549.22, 3976.45)
1179: (x,y) = (-3619.77, 4077.21)
1180: (x,y) = (-3535.89, 4167.17)
1181: (x,y) = (-3414.76, 4145.81)
1182: (x,y) = (-3393.4, 4024.68)
1183: (x,y) = (-3418.97, 4144.99)
1184: (x,y) = (-3539.28, 4170.56)
1185: (x,y) = (-3554.27, 4048.48)
1186: (x,y) = (-3602.33, 4161.7)
1187: (x,y) = (-3640.34, 4044.72)
1188: (x,y) = (-3573.35, 3941.56)
1189: (x,y) = (-3508.17, 3837.25)
1190: (x,y) = (-3613.6, 3900.6)
1191: (x,y) = (-3493.76, 3928.27)
1192: (x,y) = (-3493.76, 4051.27)
1193: (x,y) = (-3615.84, 4036.28)
1194: (x,y) = (-3493.14, 4027.7)
1195: (x,y) = (-3603.69, 4081.62)
1196: (x,y) = (-3495.09, 4139.37)
1197: (x,y) = (-3388.57, 4077.87)
1198: (x,y) = (-3455.56, 4181.02)
1199: (x,y) = (-3332.73, 4174.59)
1200: (x,y) = (-3450.35, 4138.62)
1201: (x,y) = (-3527.76, 4234.21)
1202: (x,y) = (-3442.32, 4322.69)
1203: (x,y) = (-3488.39, 4208.65)
1204: (x,y) = (-3481.95, 4331.48)
1205: (x,y) = (-3552.5, 4230.72)
1206: (x,y) = (-3649.43, 4306.45)
1207: (x,y) = (-3628.07, 4427.58)
1208: (x,y) = (-3628.07, 4550.58)
1209: (x,y) = (-3581.99, 4436.54)
1210: (x,y) = (-3495.02, 4523.51)
1211: (x,y) = (-3403.61, 4605.82)
1212: (x,y) = (-3281.29, 4592.96)
1213: (x,y) = (-3174.77, 4654.46)
1214: (x,y) = (-3263.24, 4739.9)
1215: (x,y) = (-3333.79, 4840.66)
1216: (x,y) = (-3331.65, 4717.68)
1217: (x,y) = (-3443.12, 4769.66)
1218: (x,y) = (-3449.56, 4892.49)
1219: (x,y) = (-3331.33, 4926.39)
1220: (x,y) = (-3210.19, 4905.03)
1221: (x,y) = (-3292.5, 4813.63)
1222: (x,y) = (-3172.19, 4839.2)
1223: (x,y) = (-3277.62, 4902.55)
1224: (x,y) = (-3186.21, 4820.25)
1225: (x,y) = (-3090.62, 4742.84)
1226: (x,y) = (-3201.17, 4796.76)
1227: (x,y) = (-3258.92, 4905.36)
1228: (x,y) = (-3139.07, 4933.03)
1229: (x,y) = (-3260.2, 4954.39)
1230: (x,y) = (-3382, 4971.51)
1231: (x,y) = (-3316.82, 4867.2)
1232: (x,y) = (-3255.32, 4973.72)
1233: (x,y) = (-3165.37, 4889.83)
1234: (x,y) = (-3100.19, 4994.14)
1235: (x,y) = (-3054.11, 5108.19)
1236: (x,y) = (-3083.87, 4988.84)
1237: (x,y) = (-3003.17, 5081.67)
1238: (x,y) = (-2914.69, 4996.23)
1239: (x,y) = (-2868.62, 5110.27)
1240: (x,y) = (-2908.66, 4993.97)
1241: (x,y) = (-2792.36, 5034.02)
1242: (x,y) = (-2699.53, 5114.71)
1243: (x,y) = (-2578.4, 5093.35)
1244: (x,y) = (-2515.05, 5198.79)
1245: (x,y) = (-2592.46, 5103.2)
1246: (x,y) = (-2695.62, 5036.21)
1247: (x,y) = (-2667.95, 4916.36)
1248: (x,y) = (-2556.47, 4968.34)
1249: (x,y) = (-2600.55, 4853.51)
1250: (x,y) = (-2528.25, 4754)
1251: (x,y) = (-2564.21, 4636.38)
1252: (x,y) = (-2676.58, 4686.4)
1253: (x,y) = (-2680.87, 4563.48)
1254: (x,y) = (-2687.31, 4440.65)
1255: (x,y) = (-2678.73, 4563.35)
1256: (x,y) = (-2557.6, 4541.99)
1257: (x,y) = (-2638.29, 4634.82)
1258: (x,y) = (-2515.46, 4628.38)
1259: (x,y) = (-2637.27, 4645.5)
1260: (x,y) = (-2531.83, 4708.85)
1261: (x,y) = (-2409.51, 4721.71)
1262: (x,y) = (-2291.88, 4685.74)
1263: (x,y) = (-2232.25, 4578.17)
1264: (x,y) = (-2112.9, 4548.41)
1265: (x,y) = (-2212.41, 4620.71)
1266: (x,y) = (-2150.91, 4514.19)
1267: (x,y) = (-2062.44, 4428.74)
1268: (x,y) = (-2051.71, 4551.28)
1269: (x,y) = (-2116.9, 4446.97)
1270: (x,y) = (-2166.92, 4334.6)
1271: (x,y) = (-2186.17, 4213.11)
1272: (x,y) = (-2268.47, 4121.71)
1273: (x,y) = (-2218.44, 4234.07)
1274: (x,y) = (-2207.72, 4356.6)
1275: (x,y) = (-2090.09, 4392.57)
1276: (x,y) = (-1967.09, 4392.57)
1277: (x,y) = (-2057.05, 4476.45)
1278: (x,y) = (-1988.27, 4374.48)
1279: (x,y) = (-1952.31, 4492.11)
1280: (x,y) = (-2006.23, 4602.66)
1281: (x,y) = (-2115.82, 4658.5)
1282: (x,y) = (-2000.99, 4614.42)
1283: (x,y) = (-1894.47, 4552.92)
1284: (x,y) = (-1858.51, 4670.54)
1285: (x,y) = (-1740.27, 4704.45)
1286: (x,y) = (-1731.69, 4581.75)
1287: (x,y) = (-1818.67, 4494.77)
1288: (x,y) = (-1695.74, 4499.07)
1289: (x,y) = (-1773.15, 4594.66)
1290: (x,y) = (-1779.59, 4717.49)
1291: (x,y) = (-1664.76, 4761.57)
1292: (x,y) = (-1771.28, 4700.07)
1293: (x,y) = (-1717.36, 4810.62)
